GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITS,ANRCA,CBSAA,CSAA,METDIVA,MEMI,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,UR,PCI,PUMA5A,GEOID,NAME,BTTRA,BTBGA,ALUCE001,ALUCE002,ALUCE003,ALUCE004,ALUCE005,ALUCE006,ALUCE007,ALUCE008,ALUCE009,ALUCE010,ALWVE001,ALWVE002,ALWVE003,ALWVE004,ALWVE005,ALWVE006,ALWVE007,ALWVE008,ALW1E001,AL0NE001,AL0NE002,AL0NE003,AL0NE004,AL0NE005,AL0NE006,AL0NE007,AL0NE008,AL0NE009,AL0NE010,AL0NE011,AL0NE012,AL0NE013,AL0NE014,AL0NE015
"G31000109654001","2015-2019","NE",,,"Nebraska","31","Adams County","001",,,"965400","1",,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US310019654001","Block Group 1, Census Tract 9654, Adams County, Nebraska",,,1446,1446,0,0,0,0,0,0,0,0,1446,0,10,12,0,0,0,1424,91953,561,519,0,44,220,197,32,26,42,0,0,29,13,0,0
"G31000109654002","2015-2019","NE",,,"Nebraska","31","Adams County","001",,,"965400","2",,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US310019654002","Block Group 2, Census Tract 9654, Adams County, Nebraska",,,1736,1691,0,5,16,0,10,14,0,14,1681,109,66,33,81,58,52,1282,64342,622,514,9,76,219,137,52,21,108,5,45,42,11,5,0
"G31000109654003","2015-2019","NE",,,"Nebraska","31","Adams County","001",,,"965400","3",,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US310019654003","Block Group 3, Census Tract 9654, Adams County, Nebraska",,,1501,1435,0,0,0,0,16,50,0,50,1484,9,42,28,72,87,27,1219,89408,553,512,0,75,180,144,90,23,41,0,11,30,0,0,0
"G31000109655001","2015-2019","NE",,,"Nebraska","31","Adams County","001",,,"965500","1",,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US310019655001","Block Group 1, Census Tract 9655, Adams County, Nebraska",,,1203,1073,20,22,25,0,13,50,0,50,1163,81,143,0,33,0,9,897,96250,413,361,0,46,201,74,34,6,52,0,33,0,10,9,0
"G31000109655002","2015-2019","NE",,,"Nebraska","31","Adams County","001",,,"965500","2",,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US310019655002","Block Group 2, Census Tract 9655, Adams County, Nebraska",,,802,755,19,0,14,0,0,14,0,14,802,19,14,162,83,39,10,475,53594,359,262,0,129,88,28,17,0,97,0,24,65,8,0,0
"G31000109655003","2015-2019","NE",,,"Nebraska","31","Adams County","001",,,"965500","3",,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US310019655003","Block Group 3, Census Tract 9655, Adams County, Nebraska",,,1048,967,0,0,72,0,0,9,9,0,1043,132,58,17,0,116,0,720,70000,392,318,11,67,178,25,37,0,74,0,55,0,19,0,0
"G31000109655004","2015-2019","NE",,,"Nebraska","31","Adams County","001",,,"965500","4",,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US310019655004","Block Group 4, Census Tract 9655, Adams County, Nebraska",,,1172,1172,0,0,0,0,0,0,0,0,1172,0,18,76,283,37,130,628,52635,426,275,0,84,73,73,31,14,151,0,48,73,10,20,0
"G31000109656001","2015-2019","NE",,,"Nebraska","31","Adams County","001",,,"965600","1",,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US310019656001","Block Group 1, Census Tract 9656, Adams County, Nebraska",,,702,674,0,28,0,0,0,0,0,0,702,60,0,0,21,103,29,489,46250,319,215,14,66,103,32,0,0,104,0,75,15,0,14,0
"G31000109656002","2015-2019","NE",,,"Nebraska","31","Adams County","001",,,"965600","2",,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US310019656002","Block Group 2, Census Tract 9656, Adams County, Nebraska",,,1745,1607,42,3,1,6,65,21,0,21,900,98,64,92,0,10,0,636,46667,464,319,15,72,121,50,0,61,145,35,100,0,10,0,0
"G31000109656003","2015-2019","NE",,,"Nebraska","31","Adams County","001",,,"965600","3",,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US310019656003","Block Group 3, Census Tract 9656, Adams County, Nebraska",,,1616,1498,29,0,34,0,0,55,0,55,1574,95,136,52,13,108,11,1159,47417,601,472,0,153,205,18,40,56,129,0,67,25,23,14,0
"G31000109656004","2015-2019","NE",,,"Nebraska","31","Adams County","001",,,"965600","4",,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US310019656004","Block Group 4, Census Tract 9656, Adams County, Nebraska",,,1159,1062,0,0,15,0,38,44,0,44,1159,31,113,34,157,80,0,744,46037,586,282,0,49,114,108,0,11,304,44,118,111,31,0,0
"G31000109657001","2015-2019","NE",,,"Nebraska","31","Adams County","001",,,"965700","1",,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US310019657001","Block Group 1, Census Tract 9657, Adams County, Nebraska",,,865,781,3,0,2,0,8,71,0,71,825,195,112,23,42,0,4,449,35052,378,92,0,10,65,12,5,0,286,142,68,48,0,28,0
"G31000109657002","2015-2019","NE",,,"Nebraska","31","Adams County","001",,,"965700","2",,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US310019657002","Block Group 2, Census Tract 9657, Adams County, Nebraska",,,770,678,8,0,0,0,73,11,0,11,711,50,11,8,84,52,38,468,57917,302,129,0,29,33,33,9,25,173,2,100,71,0,0,0
"G31000109658001","2015-2019","NE",,,"Nebraska","31","Adams County","001",,,"965800","1",,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US310019658001","Block Group 1, Census Tract 9658, Adams County, Nebraska",,,454,321,0,0,0,0,128,5,5,0,454,11,34,87,7,96,0,219,37056,198,99,12,14,55,10,8,0,99,28,35,30,6,0,0
"G31000109658002","2015-2019","NE",,,"Nebraska","31","Adams County","001",,,"965800","2",,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US310019658002","Block Group 2, Census Tract 9658, Adams County, Nebraska",,,715,715,0,0,0,0,0,0,0,0,715,4,40,62,61,29,0,519,53750,319,125,9,27,61,0,20,8,194,7,91,89,7,0,0
"G31000109658003","2015-2019","NE",,,"Nebraska","31","Adams County","001",,,"965800","3",,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US310019658003","Block Group 3, Census Tract 9658, Adams County, Nebraska",,,900,805,0,0,11,0,0,84,0,84,889,22,22,33,0,118,29,665,43750,370,252,9,57,147,19,8,12,118,0,67,21,30,0,0
"G31000109659001","2015-2019","NE",,,"Nebraska","31","Adams County","001",,,"965900","1",,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US310019659001","Block Group 1, Census Tract 9659, Adams County, Nebraska",,,1126,1054,22,3,0,0,2,45,0,45,1117,10,30,27,13,43,10,984,94271,479,461,0,116,204,101,28,12,18,0,18,0,0,0,0
"G31000109659002","2015-2019","NE",,,"Nebraska","31","Adams County","001",,,"965900","2",,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US310019659002","Block Group 2, Census Tract 9659, Adams County, Nebraska",,,1058,1008,26,0,0,0,24,0,0,0,1058,12,29,76,0,132,29,780,56731,418,346,10,15,177,99,45,0,72,6,24,42,0,0,0
"G31000109659003","2015-2019","NE",,,"Nebraska","31","Adams County","001",,,"965900","3",,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US310019659003","Block Group 3, Census Tract 9659, Adams County, Nebraska",,,571,571,0,0,0,0,0,0,0,0,571,0,34,73,0,0,25,439,60972,260,227,10,51,94,59,13,0,33,0,11,10,12,0,0
"G31000109659004","2015-2019","NE",,,"Nebraska","31","Adams County","001",,,"965900","4",,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US310019659004","Block Group 4, Census Tract 9659, Adams County, Nebraska",,,1568,1419,6,0,101,0,0,42,0,42,1544,9,37,43,8,54,41,1352,69773,626,385,0,36,210,40,46,53,241,91,75,44,31,0,0
"G31000109660001","2015-2019","NE",,,"Nebraska","31","Adams County","001",,,"966000","1",,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US310019660001","Block Group 1, Census Tract 9660, Adams County, Nebraska",,,745,745,0,0,0,0,0,0,0,0,745,30,66,24,112,12,13,488,41786,356,236,21,56,119,40,0,0,120,0,73,31,16,0,0
"G31000109660002","2015-2019","NE",,,"Nebraska","31","Adams County","001",,,"966000","2",,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US310019660002","Block Group 2, Census Tract 9660, Adams County, Nebraska",,,1122,1054,0,0,0,0,68,0,0,0,1090,28,335,0,226,16,109,376,47619,438,185,0,40,126,9,10,0,253,28,99,126,0,0,0
"G31000109660003","2015-2019","NE",,,"Nebraska","31","Adams County","001",,,"966000","3",,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US310019660003","Block Group 3, Census Tract 9660, Adams County, Nebraska",,,1466,1318,0,3,0,0,74,71,56,15,1466,94,78,38,124,97,68,967,42244,691,359,20,110,138,91,0,0,332,58,129,106,39,0,0
"G31000109660004","2015-2019","NE",,,"Nebraska","31","Adams County","001",,,"966000","4",,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US310019660004","Block Group 4, Census Tract 9660, Adams County, Nebraska",,,1092,1072,0,0,0,0,0,20,0,20,1092,162,89,81,21,30,42,667,41979,476,294,11,0,127,99,46,11,182,95,72,15,0,0,0
"G31000109661001","2015-2019","NE",,,"Nebraska","31","Adams County","001",,,"966100","1",,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US310019661001","Block Group 1, Census Tract 9661, Adams County, Nebraska",,,1663,1636,19,0,0,0,8,0,0,0,1520,76,297,218,67,181,46,635,25856,897,197,0,67,68,26,23,13,700,113,460,117,10,0,0
"G31000109661002","2015-2019","NE",,,"Nebraska","31","Adams County","001",,,"966100","2",,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US310019661002","Block Group 2, Census Tract 9661, Adams County, Nebraska",,,940,557,3,56,0,0,320,4,0,4,659,158,206,0,17,152,0,126,,245,199,56,49,67,11,16,0,46,10,36,0,0,0,0
"G31000109662001","2015-2019","NE",,,"Nebraska","31","Adams County","001",,,"966200","1",,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US310019662001","Block Group 1, Census Tract 9662, Adams County, Nebraska",,,608,594,0,0,0,0,0,14,14,0,594,0,7,0,8,43,40,496,71667,272,219,0,19,44,74,40,42,53,13,13,14,13,0,0
"G31000109662002","2015-2019","NE",,,"Nebraska","31","Adams County","001",,,"966200","2",,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US310019662002","Block Group 2, Census Tract 9662, Adams County, Nebraska",,,997,912,0,0,83,0,2,0,0,0,997,19,120,29,18,46,19,746,81250,357,298,1,30,89,95,56,27,59,1,10,21,27,0,0
"G31000109662003","2015-2019","NE",,,"Nebraska","31","Adams County","001",,,"966200","3",,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US310019662003","Block Group 3, Census Tract 9662, Adams County, Nebraska",,,797,760,6,0,31,0,0,0,0,0,795,6,19,29,16,42,60,623,55000,334,297,6,55,102,82,38,14,37,0,12,8,15,2,0
"G31000309796001","2015-2019","NE",,,"Nebraska","31","Antelope County","003",,,"979600","1",,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US310039796001","Block Group 1, Census Tract 9796, Antelope County, Nebraska",,,381,351,0,0,0,0,30,0,0,0,371,18,29,31,4,79,12,198,48571,152,85,0,7,46,23,9,0,67,0,8,17,29,0,13
"G31000309796002","2015-2019","NE",,,"Nebraska","31","Antelope County","003",,,"979600","2",,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US310039796002","Block Group 2, Census Tract 9796, Antelope County, Nebraska",,,504,504,0,0,0,0,0,0,0,0,504,2,53,4,12,51,13,369,66250,220,181,0,29,36,82,27,7,39,2,6,23,4,0,4
"G31000309796003","2015-2019","NE",,,"Nebraska","31","Antelope County","003",,,"979600","3",,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US310039796003","Block Group 3, Census Tract 9796, Antelope County, Nebraska",,,1018,1005,1,0,0,0,9,3,0,3,1016,75,41,39,44,35,33,749,45481,451,345,0,85,111,90,31,28,106,0,23,46,25,10,2
"G31000309797001","2015-2019","NE",,,"Nebraska","31","Antelope County","003",,,"979700","1",,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US310039797001","Block Group 1, Census Tract 9797, Antelope County, Nebraska",,,665,642,5,0,0,0,4,14,2,12,665,19,10,11,21,72,13,519,54886,293,269,0,61,138,62,0,8,24,0,15,2,7,0,0
"G31000309797002","2015-2019","NE",,,"Nebraska","31","Antelope County","003",,,"979700","2",,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US310039797002","Block Group 2, Census Tract 9797, Antelope County, Nebraska",,,1073,1062,5,0,2,0,4,0,0,0,1011,80,71,108,12,148,3,589,46875,432,277,2,58,102,83,27,5,155,50,69,36,0,0,0
"G31000309798001","2015-2019","NE",,,"Nebraska","31","Antelope County","003",,,"979800","1",,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US310039798001","Block Group 1, Census Tract 9798, Antelope County, Nebraska",,,580,564,0,0,0,0,16,0,0,0,580,14,62,29,57,81,31,306,52778,246,191,4,16,96,43,23,9,55,2,24,28,1,0,0
"G31000309798002","2015-2019","NE",,,"Nebraska","31","Antelope County","003",,,"979800","2",,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US310039798002","Block Group 2, Census Tract 9798, Antelope County, Nebraska",,,1011,998,0,5,8,0,0,0,0,0,1011,6,53,52,13,11,24,852,58710,468,361,2,94,110,61,54,40,107,0,48,21,25,13,0
"G31000309798003","2015-2019","NE",,,"Nebraska","31","Antelope County","003",,,"979800","3",,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US310039798003","Block Group 3, Census Tract 9798, Antelope County, Nebraska",,,1109,1042,52,1,5,0,2,7,0,7,1103,78,83,50,89,101,37,665,45625,452,341,18,57,125,85,41,15,111,9,53,22,18,0,9
"G31000509583001","2015-2019","NE",,,"Nebraska","31","Arthur County","005",,,"958300","1",,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US310059583001","Block Group 1, Census Tract 9583, Arthur County, Nebraska",,,427,411,0,1,0,0,2,13,0,13,427,20,37,49,27,32,19,243,42813,197,131,0,22,33,40,23,13,66,0,21,10,19,12,4
"G31000709540001","2015-2019","NE",,,"Nebraska","31","Banner County","007",,,"954000","1",,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US310079540001","Block Group 1, Census Tract 9540, Banner County, Nebraska",,,722,693,0,0,10,0,3,16,0,16,719,40,2,45,38,51,0,543,51750,283,197,3,35,36,42,62,19,86,4,12,30,23,13,4
"G31000909724001","2015-2019","NE",,,"Nebraska","31","Blaine County","009",,,"972400","1",,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US310099724001","Block Group 1, Census Tract 9724, Blaine County, Nebraska",,,477,477,0,0,0,0,0,0,0,0,477,2,60,2,18,40,21,334,51094,213,157,0,34,50,27,41,5,56,0,21,27,5,0,3
"G31001109601001","2015-2019","NE",,,"Nebraska","31","Boone County","011",,,"960100","1",,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US310119601001","Block Group 1, Census Tract 9601, Boone County, Nebraska",,,733,733,0,0,0,0,0,0,0,0,733,0,18,57,20,3,5,630,67708,280,249,14,12,64,67,69,23,31,0,0,0,22,9,0
"G31001109601002","2015-2019","NE",,,"Nebraska","31","Boone County","011",,,"960100","2",,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US310119601002","Block Group 2, Census Tract 9601, Boone County, Nebraska",,,671,665,3,0,0,0,0,3,0,3,671,6,38,76,42,48,86,375,47105,326,257,3,61,73,101,15,4,69,0,19,10,40,0,0
"G31001109601003","2015-2019","NE",,,"Nebraska","31","Boone County","011",,,"960100","3",,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US310119601003","Block Group 3, Census Tract 9601, Boone County, Nebraska",,,669,638,0,0,26,0,0,5,0,5,669,32,4,56,157,4,0,416,80938,237,160,2,0,39,70,46,3,77,0,12,24,32,9,0
"G31001109601004","2015-2019","NE",,,"Nebraska","31","Boone County","011",,,"960100","4",,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US310119601004","Block Group 4, Census Tract 9601, Boone County, Nebraska",,,605,585,11,0,0,0,0,9,0,9,601,17,42,10,39,30,18,445,57917,262,221,0,32,44,103,17,25,41,0,18,11,3,9,0
"G31001109601005","2015-2019","NE",,,"Nebraska","31","Boone County","011",,,"960100","5",,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US310119601005","Block Group 5, Census Tract 9601, Boone County, Nebraska",,,826,810,3,1,3,3,2,4,1,3,779,35,15,78,35,72,30,514,45972,379,267,13,51,98,58,31,16,112,7,60,17,22,3,3
"G31001109602001","2015-2019","NE",,,"Nebraska","31","Boone County","011",,,"960200","1",,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US310119602001","Block Group 1, Census Tract 9602, Boone County, Nebraska",,,1054,1047,0,1,0,0,0,6,0,6,1049,20,34,45,22,36,62,830,55568,502,387,12,85,173,77,38,2,115,16,65,32,0,2,0
"G31001109602002","2015-2019","NE",,,"Nebraska","31","Boone County","011",,,"960200","2",,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US310119602002","Block Group 2, Census Tract 9602, Boone County, Nebraska",,,721,717,0,4,0,0,0,0,0,0,669,17,24,6,27,54,18,523,59125,325,219,5,56,80,58,17,3,106,20,56,15,15,0,0
"G31001309511001","2015-2019","NE",,,"Nebraska","31","Box Butte County","013",,,"951100","1",,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US310139511001","Block Group 1, Census Tract 9511, Box Butte County, Nebraska",,,1558,1487,0,15,0,0,31,25,0,25,1514,36,162,38,63,180,61,974,61384,631,475,2,57,132,156,71,57,156,24,41,56,24,4,7
"G31001309511002","2015-2019","NE",,,"Nebraska","31","Box Butte County","013",,,"951100","2",,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US310139511002","Block Group 2, Census Tract 9511, Box Butte County, Nebraska",,,868,859,0,0,9,0,0,0,0,0,861,37,50,17,8,64,12,673,64271,361,310,0,35,115,81,62,17,51,0,12,11,4,0,24
"G31001309512001","2015-2019","NE",,,"Nebraska","31","Box Butte County","013",,,"951200","1",,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US310139512001","Block Group 1, Census Tract 9512, Box Butte County, Nebraska",,,1091,962,104,25,0,0,0,0,0,0,1091,0,46,26,0,209,236,574,75469,337,221,0,13,103,105,0,0,116,18,60,23,15,0,0
"G31001309512002","2015-2019","NE",,,"Nebraska","31","Box Butte County","013",,,"951200","2",,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US310139512002","Block Group 2, Census Tract 9512, Box Butte County, Nebraska",,,944,944,0,0,0,0,0,0,0,0,944,0,0,0,53,0,31,860,97526,343,290,41,45,74,24,106,0,53,0,27,26,0,0,0
"G31001309512003","2015-2019","NE",,,"Nebraska","31","Box Butte County","013",,,"951200","3",,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US310139512003","Block Group 3, Census Tract 9512, Box Butte County, Nebraska",,,935,846,0,0,0,0,0,89,0,89,935,84,123,17,29,61,0,621,34611,552,250,0,75,97,47,11,20,302,100,202,0,0,0,0
"G31001309512004","2015-2019","NE",,,"Nebraska","31","Box Butte County","013",,,"951200","4",,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US310139512004","Block Group 4, Census Tract 9512, Box Butte County, Nebraska",,,1107,944,0,29,72,0,0,62,0,62,1051,67,257,77,0,103,18,529,46100,378,334,0,41,115,102,41,35,44,0,0,44,0,0,0
"G31001309512005","2015-2019","NE",,,"Nebraska","31","Box Butte County","013",,,"951200","5",,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US310139512005","Block Group 5, Census Tract 9512, Box Butte County, Nebraska",,,881,841,12,0,28,0,0,0,0,0,811,34,0,47,15,0,28,687,,435,254,16,81,76,36,24,21,181,15,138,28,0,0,0
"G31001309513001","2015-2019","NE",,,"Nebraska","31","Box Butte County","013",,,"951300","1",,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US310139513001","Block Group 1, Census Tract 9513, Box Butte County, Nebraska",,,803,624,0,179,0,0,0,0,0,0,803,18,191,6,53,101,2,432,63889,308,190,5,16,94,48,10,17,118,0,69,24,25,0,0
"G31001309513002","2015-2019","NE",,,"Nebraska","31","Box Butte County","013",,,"951300","2",,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US310139513002","Block Group 2, Census Tract 9513, Box Butte County, Nebraska",,,688,653,1,1,10,0,0,23,15,8,663,30,33,0,0,122,27,451,52067,381,235,0,0,164,32,39,0,146,37,72,37,0,0,0
"G31001309513003","2015-2019","NE",,,"Nebraska","31","Box Butte County","013",,,"951300","3",,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US310139513003","Block Group 3, Census Tract 9513, Box Butte County, Nebraska",,,1062,979,18,0,0,0,19,46,39,7,1057,92,58,32,39,0,72,764,47933,523,380,0,44,180,124,26,6,143,8,70,65,0,0,0
"G31001309513004","2015-2019","NE",,,"Nebraska","31","Box Butte County","013",,,"951300","4",,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US310139513004","Block Group 4, Census Tract 9513, Box Butte County, Nebraska",,,450,450,0,0,0,0,0,0,0,0,443,20,0,9,22,27,55,310,44787,244,170,0,22,110,14,24,0,74,0,59,9,6,0,0
"G31001309513005","2015-2019","NE",,,"Nebraska","31","Box Butte County","013",,,"951300","5",,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US310139513005","Block Group 5, Census Tract 9513, Box Butte County, Nebraska",,,583,555,14,0,0,0,14,0,0,0,583,0,176,39,0,10,0,358,70921,250,145,10,12,19,40,40,24,105,0,60,45,0,0,0
"G31001509758001","2015-2019","NE",,,"Nebraska","31","Boyd County","015",,,"975800","1",,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US310159758001","Block Group 1, Census Tract 9758, Boyd County, Nebraska",,,1073,1035,11,12,0,0,0,15,0,15,1062,48,65,43,46,77,10,773,42353,540,455,9,95,156,93,65,37,85,3,40,23,9,8,2
"G31001509758002","2015-2019","NE",,,"Nebraska","31","Boyd County","015",,,"975800","2",,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US310159758002","Block Group 2, Census Tract 9758, Boyd County, Nebraska",,,864,820,0,8,19,0,3,14,0,14,836,16,43,52,29,180,13,503,55776,364,282,9,44,88,92,18,31,82,10,23,12,15,0,22
"G31001709750001","2015-2019","NE",,,"Nebraska","31","Brown County","017",,,"975000","1",,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US310179750001","Block Group 1, Census Tract 9750, Brown County, Nebraska",,,1455,1416,1,10,0,0,0,28,0,28,1443,65,122,122,75,67,25,967,46071,736,527,5,98,186,139,31,68,209,18,69,86,36,0,0
"G31001709750002","2015-2019","NE",,,"Nebraska","31","Brown County","017",,,"975000","2",,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US310179750002","Block Group 2, Census Tract 9750, Brown County, Nebraska",,,1560,1519,0,1,14,0,0,26,0,26,1520,40,158,52,237,149,64,820,41192,651,519,0,98,223,133,36,29,132,19,29,7,48,0,29
"G31001909689001","2015-2019","NE",,,"Nebraska","31","Buffalo County","019",,,"968900","1",,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US310199689001","Block Group 1, Census Tract 9689, Buffalo County, Nebraska",,,562,558,4,0,0,0,0,0,0,0,562,9,47,20,40,20,10,416,65000,214,165,0,36,38,61,23,7,49,0,13,18,14,0,4
"G31001909689002","2015-2019","NE",,,"Nebraska","31","Buffalo County","019",,,"968900","2",,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US310199689002","Block Group 2, Census Tract 9689, Buffalo County, Nebraska",,,865,822,0,0,11,0,0,32,0,32,865,35,23,14,149,30,37,577,49375,330,282,1,33,92,68,53,35,48,1,14,16,5,12,0
"G31001909689003","2015-2019","NE",,,"Nebraska","31","Buffalo County","019",,,"968900","3",,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US310199689003","Block Group 3, Census Tract 9689, Buffalo County, Nebraska",,,727,727,0,0,0,0,0,0,0,0,722,39,11,7,8,13,25,619,82417,319,294,0,26,109,116,27,16,25,0,14,0,11,0,0
"G31001909689004","2015-2019","NE",,,"Nebraska","31","Buffalo County","019",,,"968900","4",,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US310199689004","Block Group 4, Census Tract 9689, Buffalo County, Nebraska",,,761,756,0,0,0,0,0,5,0,5,751,51,63,6,10,41,0,580,51979,325,236,6,43,81,67,20,19,89,34,27,28,0,0,0
"G31001909689005","2015-2019","NE",,,"Nebraska","31","Buffalo County","019",,,"968900","5",,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US310199689005","Block Group 5, Census Tract 9689, Buffalo County, Nebraska",,,745,705,0,0,0,5,20,15,0,15,707,3,38,47,48,72,32,467,48300,312,222,12,50,71,45,19,25,90,7,37,45,1,0,0
"G31001909690001","2015-2019","NE",,,"Nebraska","31","Buffalo County","019",,,"969000","1",,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US310199690001","Block Group 1, Census Tract 9690, Buffalo County, Nebraska",,,1518,1477,0,0,0,0,41,0,0,0,1516,23,73,31,36,76,54,1223,75096,511,420,1,40,197,106,67,9,91,8,24,32,26,1,0
"G31001909690002","2015-2019","NE",,,"Nebraska","31","Buffalo County","019",,,"969000","2",,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US310199690002","Block Group 2, Census Tract 9690, Buffalo County, Nebraska",,,445,445,0,0,0,0,0,0,0,0,445,6,5,13,6,33,0,382,63611,188,156,0,20,60,30,15,31,32,1,19,9,3,0,0
"G31001909690003","2015-2019","NE",,,"Nebraska","31","Buffalo County","019",,,"969000","3",,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US310199690003","Block Group 3, Census Tract 9690, Buffalo County, Nebraska",,,1370,1342,0,1,0,0,24,3,0,3,1355,27,57,78,82,92,85,934,62813,513,414,2,64,142,108,79,19,99,0,29,55,15,0,0
"G31001909690004","2015-2019","NE",,,"Nebraska","31","Buffalo County","019",,,"969000","4",,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US310199690004","Block Group 4, Census Tract 9690, Buffalo County, Nebraska",,,1147,1122,0,0,0,0,25,0,0,0,1147,0,18,12,106,7,29,975,111250,420,373,3,32,148,90,80,20,47,0,17,6,24,0,0
"G31001909691001","2015-2019","NE",,,"Nebraska","31","Buffalo County","019",,,"969100","1",,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US310199691001","Block Group 1, Census Tract 9691, Buffalo County, Nebraska",,,760,743,0,0,0,0,0,17,0,17,749,10,22,23,42,6,18,628,63750,307,234,15,27,66,76,43,7,73,0,13,23,29,8,0
"G31001909691002","2015-2019","NE",,,"Nebraska","31","Buffalo County","019",,,"969100","2",,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US310199691002","Block Group 2, Census Tract 9691, Buffalo County, Nebraska",,,772,710,18,0,0,0,44,0,0,0,772,76,11,0,68,26,32,559,62976,286,228,12,3,47,112,46,8,58,0,15,32,11,0,0
"G31001909691003","2015-2019","NE",,,"Nebraska","31","Buffalo County","019",,,"969100","3",,,,,,,,,,,,,,,,,,,,,,,,,,,"15000US310199691003","Block Group 3, Census Tract 9691, Buffalo County, Nebraska",,,700,541,0,0,0,0,140,19,0,19,685,61,30,0,97,51,21,425,60729,221,172,0,28,75,38,18,13,49,0,21,25,3,0,0
